local_time,telemetry_ts,left_angle,right_angle,angle_diff,phase_left,phase_right,assist_left,assist_right,assist_enabled
2026-04-01 16:46:29.627,1775033189.945479,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.662,1775033189.981859,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.680,1775033190.015180,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.709,1775033190.060667,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.727,1775033190.098463,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.742,1775033190.134892,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.818,1775033190.173578,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.839,1775033190.211039,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.910,1775033190.246848,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.967,1775033190.284826,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.987,1775033190.318038,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.015,1775033190.365840,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.030,1775033190.404497,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.077,1775033190.442157,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.126,1775033190.478821,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.147,1775033190.512404,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.299,1775033190.561734,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.323,1775033190.594776,0.047362,-0.028571,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.461,1775033190.637573,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.489,1775033190.676298,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.517,1775033190.710026,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.527,1775033190.747466,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.619,1775033190.781982,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.636,1775033190.816228,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.652,1775033190.854009,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.684,1775033190.892132,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.696,1775033190.930236,0.047362,-0.029338,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.711,1775033190.972800,0.047362,-0.029338,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.721,1775033191.006053,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.785,1775033191.039289,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.808,1775033191.084327,0.046979,-0.029721,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.826,1775033191.132405,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.844,1775033191.168946,0.046212,-0.029721,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.871,1775033191.205657,0.046212,-0.029338,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.892,1775033191.243167,0.045061,-0.029338,0.074399,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:30.911,1775033191.280059,0.041226,-0.029338,0.070564,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.011,1775033191.316103,0.040459,-0.029338,0.069797,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.040,1775033191.353193,0.040076,-0.029721,0.069797,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.059,1775033191.389855,0.040076,-0.029721,0.069797,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.103,1775033191.427635,0.040076,-0.029338,0.069414,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.152,1775033191.467717,0.039692,-0.029338,0.069030,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.210,1775033191.504746,0.039692,-0.028954,0.068647,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.222,1775033191.543095,0.038925,-0.028954,0.067880,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.238,1775033191.579506,0.038542,-0.029338,0.067880,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.281,1775033191.617062,0.039309,-0.028571,0.067880,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.332,1775033191.652837,0.039309,-0.028954,0.068263,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.348,1775033191.690049,0.038925,-0.028954,0.067880,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.420,1775033191.727076,0.038925,-0.028954,0.067880,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.434,1775033191.767471,0.038542,-0.028954,0.067496,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.454,1775033191.805141,0.038542,-0.028954,0.067496,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.509,1775033191.846634,0.038542,-0.028954,0.067496,0.000000,3.141593,0.000000,0.000000,0
