timestamp_us,phase_onnx,raw_phase_onnx,stride_rate_hz_onnx,cos_value_onnx,sin_value_onnx,total_predictions_onnx,phase_keras,raw_phase_keras,stride_rate_hz_keras,cos_value_keras,sin_value_keras,total_predictions_keras,phase_error_cycle,phase_error_percent,phase_abs_error_percent
186681805,0.974665030029205,0.6340539379524839,0.427323043346405,-0.3593316376209259,-0.4027303159236908,84,0.9746650112659792,0.6340539117231232,0.42732298374176025,-0.35933175683021545,-0.4027303159236908,84,-1.8763225861917476e-08,-1.8763225861917476e-06,1.8763225861917476e-06
186715139,0.988911297109512,0.6341247323610508,0.4273880124092102,-0.3588761687278747,-0.4025801718235016,85,0.9889112763594646,0.6341247731764146,0.42738795280456543,-0.35887593030929565,-0.4025801122188568,85,-2.075004734702901e-08,-2.075004734702901e-06,2.075004734702901e-06
186748473,0.0031540465223665,0.6339980420984993,0.4272824823856354,-0.3591798543930053,-0.4022757112979889,86,0.003154026765729956,0.6339979786006631,0.42728251218795776,-0.3591800630092621,-0.40227562189102173,86,-1.9756636548962092e-08,-1.975663654896209e-06,1.975663654896209e-06
186781807,0.0173981966443732,0.6343225988769543,0.427324503660202,-0.3585591614246368,-0.4032326936721802,87,0.017398172914093707,0.6343225952381664,0.4273243844509125,-0.3585593104362488,-0.4032328426837921,87,-2.373027951918516e-08,-2.373027951918516e-06,2.373027951918516e-06
186815141,0.031640733467328,0.6342664386218854,0.4272761046886444,-0.3585672974586487,-0.402955412864685,88,0.03164070973704852,0.6342663707015814,0.4272761046886444,-0.3585674464702606,-0.40295523405075073,88,-2.373027946367401e-08,-2.373027946367401e-06,2.373027946367401e-06
186848475,0.0458821914462124,0.634441893447315,0.4272437393665313,-0.3585555255413055,-0.4038377702236175,89,0.0458821697027544,0.6344418861430745,0.42724379897117615,-0.3585555851459503,-0.40383780002593994,89,-2.1743458034073626e-08,-2.1743458034073626e-06,2.1743458034073626e-06
186881809,0.060125500149317,0.6345715221316657,0.4272992610931396,-0.3581826984882355,-0.4040802717208862,90,0.0601254793992698,0.6345715337850872,0.42729929089546204,-0.3581826984882355,-0.404080331325531,90,-2.0750047180495557e-08,-2.0750047180495557e-06,2.0750047180495557e-06
186915143,0.0743714930482581,0.6347795980499215,0.4273797869682312,-0.3577570915222168,-0.4046646952629089,91,0.07437147428503234,0.6347796542109952,0.427379846572876,-0.35775694251060486,-0.4046648144721985,91,-1.8763225750895174e-08,-1.8763225750895174e-06,1.8763225750895174e-06
186948477,0.0886224698889131,0.6346662342716274,0.4275293052196502,-0.3586287796497345,-0.4050688743591308,92,0.08862244913886586,0.6346661789564858,0.4275292456150055,-0.35862889885902405,-0.4050687253475189,92,-2.0750047236006708e-08,-2.0750047236006708e-06,2.0750047236006708e-06
186981811,0.1028722317882254,0.6347849514835631,0.4274928569793701,-0.3584925532341003,-0.4055240750312805,93,0.10287221103817819,0.6347849959192575,0.4274928569793701,-0.3584924042224884,-0.4055241346359253,93,-2.0750047236006708e-08,-2.0750047236006708e-06,2.0750047236006708e-06
187015145,0.1171205562221879,0.6349703869640674,0.4274497330188751,-0.3582188189029693,-0.4061671197414398,94,0.11712053447872994,0.6349703834971665,0.42744970321655273,-0.3582187294960022,-0.40616700053215027,94,-2.1743457923051324e-08,-2.1743457923051324e-06,2.1743457923051324e-06
187048479,0.1313683809705451,0.6350748483264101,0.4274347424507141,-0.3580311834812164,-0.4064918756484985,95,0.13136835624685483,0.6350748919730886,0.42743465304374695,-0.3580310642719269,-0.4064919650554657,95,-2.4723690261740927e-08,-2.4723690261740927e-06,2.4723690261740927e-06
187081813,0.1456145983803148,0.6352898216083462,0.4273865222930908,-0.3577548265457153,-0.4072859287261963,96,0.1456145726632138,0.635289928743661,0.42738649249076843,-0.3577547073364258,-0.4072863459587097,96,-2.5717101004296694e-08,-2.5717101004296694e-06,2.5717101004296694e-06
187115147,0.1669901874530191,0.6354630954034657,0.4275117814540863,-0.3575150668621063,-0.4079077839851379,97,0.16699015726556973,0.6354630682090217,0.42751169204711914,-0.35751500725746155,-0.4079075753688812,97,-3.018744937355322e-08,-3.018744937355322e-06,3.018744937355322e-06
